"sample_id_fastq","barcoding_id","sample_id","sampling_id","taxonomy","sample_type","tank_id","treatment","treatment_tank","sampling_rank","sampling_day","sampling_date","position_in_the_tank","taxo_q0","taxo_q1","phylo_q0","phylo_q1"
"M-B750-B","M_B750_B","M_B750","M_D00","Sediment","Sediment","Sea","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,210,153.97376765994,22.862397525835,4.24659901759409
"M-B751-B","M_B751_B","M_B751","M_D00","Sediment","Sediment","Sea","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,143,89.7933940584766,18.9892249224088,4.01204825328456
"M-B753-B","M_B753_B","M_B753","M_D00","Sediment","Sediment","Sea","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,227,159.013676044451,23.942883433163,4.48495692197896
"M-B754-B","M_B754_B","M_B754","M_D00","Sediment","Sediment","Sea","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,152,95.3008917547815,21.0549477227781,3.97929318928423
"M-B755-B","M_B755_B","M_B755","M_D00","Sediment","Sediment","Sea","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,194,127.090456250951,21.9243727267441,5.21736079185518
"M-B756-B","M_B756_B","M_B756","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,199,120.008100126789,17.9084373684794,3.02093785433191
"M-B757-B","M_B757_B","M_B757","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,195,139.014939013994,22.4433719895335,4.88041639290644
"M-B758-B","M_B758_B","M_B758","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,185,131.460724816136,22.1487559004215,4.85568668613451
"M-B759-B","M_B759_B","M_B759","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,183,135.296428215892,22.3044793271184,5.01947557263999
"M-B760-B","M_B760_B","M_B760","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,193,141.684147601042,22.5738870582032,5.10748335701367
"M-B761-B","M_B761_B","M_B761","M_D00","Sediment","Sediment","Bucket","Environmental_control","Environmental_control","m_00","0","2019-05-07",NA,186,143.460608210748,22.0828186568645,5.31167026976559
"M-B762-B","M_B762_B","M_B762","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","tank",185,135.475884200853,21.0112408598349,3.92536255047675
"M-B763-B","M_B763_B","M_B763","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","tank",225,161.629721229614,27.5092491701653,5.19071477217848
"M-B764-B","M_B764_B","M_B764","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","tank",172,125.298443757904,24.1782420578916,4.46389317253186
"M-B765-B","M_B765_B","M_B765","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","open_shelter",181,131.864144689354,25.8767075817282,4.51494173860623
"M-B766-B","M_B766_B","M_B766","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","open_shelter",243,170.606195880285,30.4603773034743,3.75759340853882
"M-B767-B","M_B767_B","M_B767","M_D08","Sediment","Sediment","01","Fish","F1","m_08","8","2019-05-15","closed_shelter",213,161.186489850881,25.5854109242461,4.61467545575088
"M-B768-B","M_B768_B","M_B768","M_D08","Sediment","Sediment","02","Control","C2","m_08","8","2019-05-15","tank",176,118.003344300958,19.9133842242941,3.43543290793419
"M-B769-B","M_B769_B","M_B769","M_D08","Sediment","Sediment","02","Control","C2","m_08","8","2019-05-15","tank",177,130.670784177776,19.5945801743575,3.61446068605259
"M-B770-B","M_B770_B","M_B770","M_D08","Sediment","Sediment","02","Control","C2","m_08","8","2019-05-15","tank",159,116.739663958642,19.9771557614345,3.77213566997012
"M-B771-B","M_B771_B","M_B771","M_D08","Sediment","Sediment","02","Control","C2","m_08","8","2019-05-15","open_shelter",178,126.462557220415,23.0621717047663,4.56129452029627
"M-B772-B","M_B772_B","M_B772","M_D08","Sediment","Sediment","02","Control","C2","m_08","8","2019-05-15","open_shelter",188,140.583060559653,22.4756745645411,4.62399930949872
