"sample_id","sampling_id","excretion_duration_min","body_mass","standard_length","NH4","PO4","NP"
"M_F750_E","M_D01",47,31,120,11.9007063507694,0.146,81.511687334037
"M_F751_E","M_D01",48,NA,105,13.9910149201297,0.085,164.600175530938
"M_F752_E","M_D01",49,33,122,21.3158777220055,0.13,163.968290169273
"M_F753_E","M_D01",44,36,124,14.8517302133956,0.06,247.528836889927
"M_F754_E","M_D01",45,36,125,19.9457595000719,0.097,205.626386598679
"M_F755_E","M_D01",45,39,125,19.8052345542325,0.091,217.639940156401
"M_F756_E","M_D01",13,29,121,5.9108305343674,0.099,59.705358933004
"M_F757_E","M_D01",13,37,136,8.52810765062518,0.181,47.1166168542828
"M_F758_E","M_D01",12,34,121,4.61097478535347,0.062,74.3705610540882
"M_F759_E","M_D01",79,24,106,4.6461060218133,0.107,43.4215516057318
"M_F760_E","M_D01",79,56,145,22.8089552715485,0.161,141.670529636947
"M_F761_E","M_D01",80,53,138,26.2693820628423,0.153,171.695307600276
"M_F762_E","M_D06",65,47,132,12.1641906242182,0.107,113.684024525404
"M_F764_E","M_D06",67,32,115,22.7211271803989,0.22,103.277850819995
"M_F765_E","M_D06",71,39,119,19.699840844853,0.136,144.851770918037
"M_F766_E","M_D06",69,31,117,12.3222811882875,0.173,71.2270588918353
"M_F767_E","M_D06",72,38,123,13.9910149201297,0.1,139.910149201297
